,0
1939.SKBTI.0287,307241.0
1939.SKBTI.0175,253437.0
1939.SKBTI.0135,248428.0
1939.SKBTI028,181673.0
1939.SKBTI.0274.a,165798.0
1939.MGH129951,152565.0
1939.SKBTI038,140455.0
1939.SKBTI.0250.a,138054.0
1939.MGH104671.b,125474.0
1939.SKBTI.0275.a,116303.0
1939.SKBTI.0181,110934.0
1939.SKBTI057,109750.0
1939.SKBTI037,107733.0
1939.SKBTI.0244.a,105154.0
1939.SKBTI.0188,98469.0
1939.100214,95696.0
1939.SKBTI093,95302.0
1939.SKBTI.0180,94213.0
1939.SKBTI.0164,91131.0
1939.SKBTI.0162,90490.0
1939.SKBTI.0277.a,88179.0
1939.100188,82938.0
1939.SKBTI.1041,81200.0
1939.100206,81082.0
1939.SKBTI009,76157.0
1939.100183,76069.0
1939.SKBTI.1062,75681.0
1939.SKBTI.1061,75323.0
1939.MGH105239,75147.0
1939.SKBTI.0099,73367.0
1939.SKBTI036,71270.0
1939.SKBTI.0178,69506.0
1939.SKBTI.0189,68971.0
1939.SKBTI.0177.a,68722.0
1939.SKBTI.0215,68606.0
1939.SKBTI029,68528.0
1939.SKBTI.0272.a,67781.0
1939.SKBTI.0963,67747.0
1939.SKBTI026,67472.0
1939.SKBTI.0362,67147.0
1939.SKBTI092.b,66784.0
1939.SKBTI.1126,66323.0
1939.SKBTI.0122.a,66290.0
1939.SKBTI.0967,61400.0
1939.SKBTI064,60863.0
1939.SKBTI.0245.a,60454.0
1939.SKBTI.0134.a,60266.0
1939.SKBTI.1184,60212.0
1939.SKBTI.1347,59369.0
1939.SKBTI.0650,59131.0
1939.SKBTI.0098.a,59125.0
1939.SKBTI.0246.a,58973.0
1939.SKBTI.1226,58698.0
1939.SKBTI.0097,58264.0
1939.SKBTI.0168,57999.0
1939.100176,57957.0
1939.SKBTI.0102.a,57388.0
1939.100178,57370.0
1939.SKBTI.0193,57042.0
1939.MGH101123,56824.0
1939.SKBTI.0219,56790.0
1939.SKBTI.0202,56313.0
1939.SKBTI.1122,55964.0
1939.SKBTI.0156,55607.0
1939.SKBTI053,55494.0
1939.100212,54910.0
1939.SKBTI.0155,54879.0
1939.SKBTI.1221,54745.0
1939.SKBTI.0137,54681.0
1939.100207,54667.0
1939.SKBTI.0522,54401.0
1939.100192,54202.0
1939.SKBTI.0258,54154.0
1939.SKBTI.0567,53253.0
1939.SKBTI079,53126.0
1939.SKBTI.0301,53014.0
1939.121185,52735.0
1939.100216,52228.0
1939.MGH100601.b,52018.0
1939.100211,51715.0
1939.SKBTI.0973,51373.0
1939.SKBTI.1142,50890.0
1939.100200,50495.0
1939.SKBTI096,50123.0
1939.100071,50084.0
1939.SKBTI.0203,49770.0
1939.SKBTI.0201,49613.0
1939.SKBTI.0138,49182.0
1939.SKBTI.0152,48253.0
1939.121447,48157.0
1939.SKBTI.1345,48067.0
1939.SKBTI.0633,47750.0
1939.SKBTI.0968,47647.0
1939.SKBTI.0533,47500.0
1939.SKBTI069,47280.0
1939.MGH106271.b,47243.0
1939.121313,46931.0
1939.121309,46506.0
1939.SKBTI.1053,46417.0
1939.SKBTI.1044,46353.0
1939.SKBTI.1086,46306.0
1939.SKBTI.0936,45944.0
1939.SKBTI.0603,45869.0
1939.SKBTI.0974,45825.0
1939.SKBTI.0182,45821.0
1939.SKBTI.0148,45748.0
1939.121389,45603.0
1939.121398,45505.0
1939.121401,45276.0
1939.SKBTI.0216,45078.0
1939.SKBTI.0248,45066.0
1939.SKBTI.0996,45005.0
1939.SKBTI034,44760.0
1939.SKBTI.1018,44729.0
1939.SKBTI.0232,44705.0
1939.SKBTI.0645,44608.0
1939.SKBTI.1254,44506.0
1939.121281,44387.0
1939.SKBTI054,44153.0
1939.SKBTI.0615,44076.0
1939.SKBTI049,44056.0
1939.SKBTI.0979,43725.0
1939.SKBTI.0153,43718.0
1939.121154,43540.0
1939.121194,43394.0
1939.SKBTI.1006,43352.0
1939.121188,43264.0
1939.121216,43204.0
1939.100205,43115.0
1939.121282,43070.0
1939.SKBTI.0120,42964.0
1939.121195,42889.0
1939.SKBTI.0218,42779.0
1939.SKBTI.1048,42558.0
1939.MGH104316.b,42528.0
1939.SKBTI.0176,42235.0
1939.SKBTI.1189,42194.0
1939.SKBTI.1187,42152.0
1939.100219,42106.0
1939.SKBTI039,42063.0
1939.SKBTI.0599,41884.0
1939.121212,41864.0
1939.121400,41755.0
1939.100161,41691.0
1939.SKBTI.0623,41665.0
1939.121385,41555.0
1939.SKBTI.0544,41454.0
1939.121189,41386.0
1939.121197,41322.0
1939.SKBTI.0257,41304.0
1939.100074,41199.0
1939.SKBTI.0251,41189.0
1939.121279,40965.0
1939.100197,40822.0
1939.SKBTI.0989,40621.0
1939.121200,40394.0
1939.121201,40274.0
1939.121190,40156.0
1939.121280,40137.0
1939.120157,40131.0
1939.SKBTI.1165,40063.0
1939.SKBTI.0131,40058.0
1939.SKBTI.0363,40045.0
1939.SKBTI.1152,39947.0
1939.121455,39834.0
1939.SKBTI.1229,39700.0
1939.121219,39644.0
1939.MGH100079,39560.0
1939.SKBTI.1293,39426.0
1939.121284,39238.0
1939.SKBTI.1065,39058.0
1939.100196,39020.0
1939.MGH100896.b,38975.0
1939.SKBTI.0988,38955.0
1939.SKBTI.0278,38950.0
1939.SKBTI.0504,38888.0
1939.SKBTI.0124,38877.0
1939.SKBTI.1322,38763.0
1939.SKBTI.0613,38749.0
1939.121181,38731.0
1939.100163,38724.0
1939.100043,38630.0
1939.121446,38568.0
1939.SKBTI.0170,38538.0
1939.121213,38521.0
1939.121308,38325.0
1939.120156,38314.0
1939.SKBTI087,38138.0
1939.121183,38018.0
1939.SKBTI045,37846.0
1939.121310,37721.0
1939.100099,37516.0
1939.121403,37499.0
1939.121457,37403.0
1939.SKBTI.0123,37347.0
1939.SKBTI.0161,37304.0
1939.SKBTI.0158,37212.0
1939.SKBTI.1349,37149.0
1939.100068,36960.0
1939.121182,36910.0
1939.SKBTI.1067,36786.0
1939.121444,36745.0
1939.SKBTI.0260,36710.0
1939.SKBTI.0637,36529.0
1939.100101,36474.0
1939.SKBTI.0205,36317.0
1939.SKBTI.0127,36210.0
1939.121454,36161.0
1939.100049,36099.0
1939.SKBTI047,36099.0
1939.121285,36050.0
1939.SKBTI.1353,35950.0
1939.SKBTI.0149,35933.0
1939.SKBTI.1167,35806.0
1939.100095,35725.0
1939.SKBTI.0104,35688.0
1939.100086,35574.0
1939.100102,35534.0
1939.SKBTI.0143.a,35479.0
1939.SKBTI.1218,35470.0
1939.SKBTI.1237,35458.0
1939.SKBTI.1231,35457.0
1939.SKBTI.0169,35383.0
1939.SKBTI.1105,35366.0
1939.SKBTI.0238,35299.0
1939.121463,35218.0
1939.SKBTI.0117,35195.0
1939.SKBTI.1008,35185.0
1939.121464,35175.0
1939.121452,35162.0
1939.SKBTI.0151,35082.0
1939.SKBTI.0995,34908.0
1939.121198,34901.0
1939.SKBTI.1054,34789.0
1939.121186,34717.0
1939.SKBTI.1098,34677.0
1939.121192,34637.0
1939.121466,34600.0
1939.100209,34582.0
1939.SKBTI.0999,34553.0
1939.SKBTI.0261.a,34465.0
1939.121311,34455.0
1939.SKBTI.0562,34437.0
1939.121307,34431.0
1939.100085,34415.0
1939.SKBTI052,34405.0
1939.SKBTI.1205,34189.0
1939.121423,34171.0
1939.121218,34006.0
1939.SKBTI.1112,33939.0
1939.SKBTI.0994,33903.0
1939.SKBTI.0130,33730.0
1939.SKBTI077,33620.0
1939.SKBTI.0174,33565.0
1939.SKBTI.1106,33508.0
1939.SKBTI.1227,33366.0
1939.SKBTI.1235,33277.0
1939.SKBTI.0313,33260.0
1939.SKBTI.0112.a,33213.0
1939.100091,33128.0
1939.SKBTI.0285,33119.0
1939.SKBTI.0971,33023.0
1939.SKBTI.1079,32928.0
1939.SKBTI044,32849.0
1939.120155,32745.0
1939.SKBTI.0223.a,32695.0
1939.SKBTI.1046,32633.0
1939.121461,32609.0
1939.100107,32606.0
1939.SKBTI.1097,32532.0
1939.100080,32515.0
1939.SKBTI.0231,32499.0
1939.100072,32411.0
1939.SKBTI.1260,32354.0
1939.SKBTI.0267,32343.0
1939.121402,32332.0
1939.100052,32249.0
1939.100087,32225.0
1939.SKBTI.1328,32131.0
1939.SKBTI050,32117.0
1939.SKBTI.1003,32053.0
1939.SKBTI.0640,31959.0
1939.121467,31802.0
1939.SKBTI.0704,31773.0
1939.121199,31639.0
1939.SKBTI.1147,31611.0
1939.MGH100695.b,31606.0
1939.SKBTI.1016,31577.0
1939.SKBTI.1182,31541.0
1939.SKBTI.0284,31457.0
1939.SKBTI.0271.a,31452.0
1939.SKBTI.1352,31406.0
1939.SKBTI.0184,31386.0
1939.SKBTI.1013,31323.0
1939.SKBTI086,31312.0
1939.SKBTI.0141.a,31273.0
1939.SKBTI.1056,31157.0
1939.SKBTI.0636,31109.0
1939.SKBTI.0209.a,31108.0
1939.SKBTI.0190,31004.0
1939.SKBTI.1341,30978.0
1939.SKBTI.0970,30951.0
1939.SKBTI.1294,30883.0
1939.SKBTI.1178,30848.0
1939.SKBTI.0115.a,30712.0
1939.SKBTI033,30669.0
1939.100070,30635.0
1939.SKBTI.0128,30554.0
1939.SKBTI.1223,30526.0
1939.SKBTI.1185,30395.0
1939.121215,30387.0
1939.100078,30328.0
1939.SKBTI.1074,30279.0
1939.SKBTI.1051,30222.0
1939.121283,30055.0
1939.100015,30033.0
1939.SKBTI.0100,29942.0
1939.SKBTI.0171,29919.0
1939.SKBTI.1335,29899.0
1939.SKBTI.1307,29802.0
1939.SKBTI.0487,29724.0
1939.120153,29651.0
1939.100092,29503.0
1939.SKBTI.1023,29462.0
1939.SKBTI.0119,29336.0
1939.SKBTI.1140,29234.0
1939.SKBTI.1265,29220.0
1939.122006,29179.0
1939.SKBTI030,29175.0
1939.SKBTI.0976,29074.0
1939.SKBTI.0249,29056.0
1939.SKBTI.1245,28946.0
1939.100106,28845.0
1939.100083,28841.0
1939.SKBTI.0173.a,28782.0
1939.SKBTI.1252,28721.0
1939.100047,28634.0
1939.121217,28606.0
1939.SKBTI.1348,28553.0
1939.100090,28551.0
1939.SKBTI.0268,28495.0
1939.100226,28280.0
1939.SKBTI.0530,28234.0
1939.SKBTI.0144,28082.0
1939.SKBTI.1288,28024.0
1939.SKBTI.1060,27985.0
1939.100160,27972.0
1939.SKBTI.1281,27972.0
1939.SKBTI.0965,27965.0
1939.SKBTI.1239,27888.0
1939.SKBTI.1087,27810.0
1939.MGH113669.b,27774.0
1939.SKBTI.1225,27751.0
1939.SKBTI.0731.b,27703.0
1939.SKBTI024,27686.0
1939.SKBTI.0643,27634.0
1939.100220,27621.0
1939.SKBTI.0187,27525.0
1939.SKBTI.0984,27518.0
1939.100227,27485.0
1939.SKBTI.0716,27419.0
1939.SKBTI.1171,27390.0
1939.SKBTI.0934,27352.0
1939.SKBTI063,27338.0
1939.SKBTI.0191,27331.0
1939.SKBTI.0255.a,27303.0
1939.SKBTI.0876,27246.0
1939.SKBTI.0539,27173.0
1939.SKBTI.1271,27115.0
1939.SKBTI.1355,27060.0
1939.100051,26992.0
1939.SKBTI.0226.a,26983.0
1939.SKBTI.1045,26964.0
1939.100075,26964.0
1939.SKBTI.0589,26938.0
1939.100077,26932.0
1939.SKBTI.1236,26746.0
1939.100109,26664.0
1939.SKBTI068,26638.0
1939.SKBTI.1201,26528.0
1939.100089,26464.0
1939.SKBTI.1168,26420.0
1939.SKBTI.1055,26415.0
1939.SKBTI.0549,26345.0
1939.SKBTI.1125,26331.0
1939.SKBTI.0956,26316.0
1939.SKBTI013,26179.0
1939.121450,26178.0
1939.SKBTI.1173,26109.0
1939.SKBTI.1172,26070.0
1939.SKBTI.1191,26059.0
1939.SKBTI.0270,26016.0
1939.SKBTI.0192,25970.0
1939.SKBTI.1073,25943.0
1939.SKBTI.1029,25914.0
1939.100001,25864.0
1939.121980.a,25803.0
1939.SKBTI.1092,25609.0
1939.MGH105658,25494.0
1939.100180,25465.0
1939.SKBTI.1128,25454.0
1939.100203,25421.0
1939.SKBTI.1070,25418.0
1939.SKBTI.1308,25402.0
1939.SKBTI.0254.a,25343.0
1939.SKBTI.0630,25290.0
1939.SKBTI.1047,25272.0
1939.SKBTI.1146,25171.0
1939.SKBTI.1331,25126.0
1939.SKBTI.1002,25087.0
1939.SKBTI.1315,25078.0
1939.SKBTI.0311,25030.0
1939.SKBTI.0298,24962.0
1939.SKBTI.1014,24819.0
1939.SKBTI.0568,24808.0
1939.SKBTI.1238,24731.0
1939.SKBTI.1130,24724.0
1939.SKBTI.1176,24675.0
1939.SKBTI.1193,24563.0
1939.SKBTI.0252,24559.0
1939.SKBTI.1012,24518.0
1939.SKBTI.0889,24485.0
1939.SKBTI.0262.a,24480.0
1939.121312,24452.0
1939.SKBTI.0486,24414.0
1939.SKBTI.0482,24412.0
1939.SKBTI.1326,24385.0
1939.SKBTI.0206,24339.0
1939.SKBTI.0551,24329.0
1939.SKBTI.1135,24199.0
1939.SKBTI.0523,24175.0
1939.SKBTI074,24175.0
1939.SKBTI.1021,24148.0
1939.SKBTI.1346,24139.0
1939.SKBTI.0167,24126.0
1939.SKBTI.0982,24125.0
1939.SKBTI.1338,24109.0
1939.SKBTI.1342,24073.0
1939.SKBTI.0665,24037.0
1939.SKBTI.1066,23997.0
1939.SKBTI.0214,23864.0
1939.SKBTI046.b,23816.0
1939.SKBTI.0972,23810.0
1939.121386,23803.0
1939.SKBTI.0139,23755.0
1939.SKBTI.0236,23745.0
1939.SKBTI.1017,23717.0
1939.100048,23695.0
1939.100115,23681.0
1939.SKBTI.0269,23643.0
1939.SKBTI.1090,23609.0
1939.SKBTI.1220,23585.0
1939.121187,23553.0
1939.SKBTI081,23545.0
1939.SKBTI.0133,23519.0
1939.SKBTI025,23510.0
1939.121503,23497.0
1939.SKBTI.1242,23475.0
1939.SKBTI089.b,23473.0
1939.SKBTI.1064,23446.0
1939.SKBTI.0286,23422.0
1939.SKBTI.1251,23387.0
1939.100217,23360.0
1939.100128,23357.0
1939.SKBTI.0237,23310.0
1939.SKBTI.1232,23309.0
1939.SKBTI.0132,23288.0
1939.SKBTI.0981,23274.0
1939.SKBTI.0656,23165.0
1939.SKBTI.1155,23093.0
1939.SKBTI.1039,23084.0
1939.SKBTI.1336,23001.0
1939.100117,22992.0
1939.100162,22976.0
1939.SKBTI.0186,22964.0
1939.SKBTI.1025,22948.0
1939.SKBTI.1183,22909.0
1939.SKBTI.0233,22791.0
1939.SKBTI.0648,22789.0
1939.SKBTI.1215,22781.0
1939.121449,22731.0
1939.SKBTI.1186,22679.0
1939.SKBTI.1299,22605.0
1939.SKBTI.1292,22555.0
1939.SKBTI.1068,22527.0
1939.121502,22516.0
1939.SKBTI.0945,22457.0
1939.SKBTI.0717,22443.0
1939.SKBTI.1188,22412.0
1939.SKBTI.1287,22406.0
1939.SKBTI.1351,22324.0
1939.SKBTI.1035,22293.0
1939.SKBTI.1289,22290.0
1939.100046,22244.0
1939.SKBTI.1276,22182.0
1939.100009,22144.0
1939.SKBTI067,22135.0
1939.121422,22119.0
1939.121488,22052.0
1939.SKBTI.1286,22044.0
1939.SKBTI.0654,21986.0
1939.SKBTI.1194,21980.0
1939.SKBTI.1210,21980.0
1939.SKBTI.0227.a,21974.0
1939.121470,21951.0
1939.SKBTI.1076,21930.0
1939.121196,21906.0
1939.SKBTI.1343,21905.0
1939.SKBTI.1020,21846.0
1939.SKBTI.1217,21828.0
1939.SKBTI.0951,21791.0
1939.SKBTI020,21754.0
1939.SKBTI.0611,21689.0
1939.SKBTI.1052,21683.0
1939.SKBTI.1334,21661.0
1939.SKBTI.1038,21641.0
1939.SKBTI.1211,21490.0
1939.SKBTI040,21473.0
1939.SKBTI.1170,21412.0
1939.SKBTI.0953,21273.0
1939.100060,21273.0
1939.SKBTI.0265.a,21253.0
1939.SKBTI.1088,21231.0
1939.SKBTI.1093,21193.0
1939.SKBTI.1114,21153.0
1939.SKBTI.1180,21131.0
1939.SKBTI.1015,21123.0
1939.SKBTI.0234,21114.0
1939.SKBTI.1350,21103.0
1939.SKBTI.1298,21095.0
1939.SKBTI.0943,21062.0
1939.SKBTI.0136.a,21046.0
1939.SKBTI.0966,21000.0
1939.SKBTI.1149,20985.0
1939.SKBTI.0242,20960.0
1939.SKBTI.0534,20892.0
1939.SKBTI.1120,20885.0
1939.SKBTI.1078,20863.0
1939.SKBTI.0614,20854.0
1939.SKBTI.0264.a,20820.0
1939.SKBTI.1118,20738.0
1939.SKBTI.0129,20695.0
1939.SKBTI.0626,20679.0
1939.SKBTI.0652,20637.0
1939.SKBTI.1022,20636.0
1939.SKBTI083,20619.0
1939.SKBTI.1241,20600.0
1939.SKBTI.1203,20572.0
1939.SKBTI.0259,20538.0
1939.121387,20528.0
1939.SKBTI.0118,20493.0
1939.SKBTI043,20481.0
1939.SKBTI.0516,20468.0
1939.100062,20397.0
1939.MGH101446,20374.0
1939.100104,20347.0
1939.100096,20344.0
1939.SKBTI.1327,20339.0
1939.SKBTI.1141,20312.0
1939.SKBTI.1197,20272.0
1939.SKBTI.1116,20211.0
1939.SKBTI.1214,20194.0
1939.SKBTI.0276,20187.0
1939.SKBTI.0596,20116.0
1939.SKBTI.1244,20102.0
1939.100177,20089.0
1939.SKBTI.1270,20077.0
1939.SKBTI.0145,20051.0
1939.SKBTI.1222,20006.0
1939.SKBTI.1127,19972.0
1939.SKBTI.1305,19971.0
1939.SKBTI.1200,19960.0
1939.SKBTI.1248,19877.0
1939.SKBTI.1089,19858.0
1939.SKBTI.0997,19855.0
1939.SKBTI.1249,19823.0
1939.SKBTI.1177,19819.0
1939.SKBTI.1094,19753.0
1939.SKBTI.1036,19707.0
1939.SKBTI.1255,19681.0
1939.SKBTI.1057,19668.0
1939.SKBTI.1031,19615.0
1939.121445,19612.0
1939.SKBTI.0556,19601.0
1939.SKBTI078,19530.0
1939.122058,19491.0
1939.SKBTI.1136,19472.0
1939.SKBTI.1009,19455.0
1939.SKBTI.1266,19452.0
1939.SKBTI.0961,19445.0
1939.SKBTI.0928,19402.0
1939.SKBTI.1204,19387.0
1939.SKBTI.1063,19386.0
1939.SKBTI.1207,19377.0
1939.SKBTI060,19369.0
1939.SKBTI.0664,19354.0
1939.SKBTI.1333,19346.0
1939.SKBTI.0304,19323.0
1939.SKBTI.1196,19266.0
1939.SKBTI.0493,19221.0
1939.SKBTI.1263,19154.0
1939.SKBTI.1261,19126.0
1939.SKBTI032,19112.0
1939.SKBTI.0497,19110.0
1939.SKBTI.1269,19074.0
1939.SKBTI.1310,19052.0
1939.121498,19040.0
1939.SKBTI.0985,19016.0
1939.SKBTI.0207,18974.0
1939.SKBTI.0147,18944.0
1939.121448,18930.0
1939.SKBTI.1004,18899.0
1939.SKBTI.1011,18866.0
1939.SKBTI.1099,18860.0
1939.SKBTI.0256.a,18771.0
1939.SKBTI.1144,18766.0
1939.121314,18760.0
1939.SKBTI.1314,18747.0
1939.SKBTI.1246,18718.0
1939.100158,18700.0
1939.100190,18681.0
1939.SKBTI.0870,18653.0
1939.SKBTI.0198.a,18587.0
1939.SKBTI.1291,18562.0
1939.SKBTI.0247,18541.0
1939.SKBTI.0281,18540.0
1939.SKBTI059,18534.0
1939.SKBTI.1104,18528.0
1939.121469,18525.0
1939.SKBTI.0108,18513.0
1939.SKBTI.0499,18504.0
1939.SKBTI.1268,18449.0
1939.SKBTI.0983,18443.0
1939.SKBTI.1081,18386.0
1939.SKBTI.0969,18317.0
1939.SKBTI.0600,18316.0
1939.SKBTI.1174,18308.0
1939.SKBTI.0283,18305.0
1939.SKBTI.0263,18293.0
1939.SKBTI.0998,18285.0
1939.SKBTI.1077,18269.0
1939.SKBTI.1272,18232.0
1939.SKBTI.1279,18232.0
1939.SKBTI.1253,18221.0
1939.SKBTI.1069,18214.0
1939.121451,18193.0
1939.SKBTI.0674,18145.0
1939.SKBTI.1344,18132.0
1939.SKBTI.0142,18110.0
1939.SKBTI.0262.b,18055.0
1939.SKBTI.0871,17981.0
1939.SKBTI.1148,17977.0
1939.SKBTI.0253.a,17954.0
1939.SKBTI.1032,17941.0
1939.121405,17889.0
1939.SKBTI.1283,17856.0
1939.SKBTI011,17802.0
1939.SKBTI.0212,17802.0
1939.SKBTI.1309,17778.0
1939.SKBTI.1124,17773.0
1939.122053.b,17769.0
1939.SKBTI.0488,17734.0
1939.SKBTI.1019,17719.0
1939.100181,17717.0
1939.SKBTI.0213.a,17716.0
1939.SKBTI.0678,17713.0
1939.SKBTI016,17709.0
1939.SKBTI.1303,17701.0
1939.100182,17687.0
1939.SKBTI.1175,17678.0
1939.SKBTI.0940,17605.0
1939.SKBTI.0869,17564.0
1939.122034.a,17560.0
